imagePath,title,caption
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10673.jpg,Doodle Girl Ballet School Black Tops,"Black, Tops, for Women, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7721.jpg,Puma Women Exsis 2 White Blue Shoe,"White, Sports Shoes, for Women, Sports, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44604.jpg,Van Heusen Men Brown Wallet,"Brown, Wallets, for Men, Formal, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\41762.jpg,Remanika Women Multi Coloured Top,"Multi, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\18520.jpg,C Vox Women Solid 1354 Black Jacket,"Black, Jackets, for Women, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\5161.jpg,Ed Hardy Men's Eagle Shield Anchor Collage Black T-shirt,"Black, Tshirts, for Men, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50849.jpg,Fabindia Women Blue Stole,"Blue, Stoles, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8514.jpg,Nike Unisex Ultimatum Max Grey Backpacks,"Grey, Backpacks, for Unisex, Sports, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59404.jpg,Tokyo Talkies Women Blue Top,"Blue, Tops, for Women, Casual, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50659.jpg,Chromozome Men Navy Blue Lounge Shorts,"Navy Blue, Lounge Shorts, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\35466.jpg,Franco Leone Men Brown Casual Shoes,"Brown, Casual Shoes, for Men, Casual, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\38384.jpg,Peter England Men Black Belt,"Black, Belts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46560.jpg,Timex Men Black Dial Watch,"Black, Watches, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\21670.jpg,Fossil Men Black Dial Chronograph Watch CH2600,"Black, Watches, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2163.jpg,Probase Men Stripe Red Shirt,"Red, Shirts, for Men, Casual, Summer, 2011"
